time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.684	15.6391	4.82539	1.98018	0.581283	lidar	5.27755	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5818	15.8528	4.82062	2.01103	0.583603	radar	1.62192	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4761	16.0601	4.81234	2.04105	0.584971	lidar	0.207513	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.368	16.2722	4.8097	2.06413	0.573225	radar	1.92187	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2491	16.4498	4.7815	2.09732	0.579475	lidar	2.61007	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.125	16.6518	4.77956	2.12776	0.581965	radar	0.373345	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9973	16.8506	4.77711	2.15667	0.581947	lidar	0.0142864	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8426	17.0419	4.78313	2.20486	0.614432	radar	6.40258	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6817	17.2559	4.81004	2.23717	0.614163	lidar	1.72004	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5654	17.4599	4.80404	2.23919	0.569017	radar	6.15861	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3517	17.6296	4.81946	2.29005	0.589498	lidar	5.89732	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2111	17.8198	4.81488	2.30088	0.559264	radar	3.26119	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0798	18.0061	4.80595	2.31749	0.548983	lidar	1.58828	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9047	18.1682	4.8028	2.35344	0.561366	radar	1.6928	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7643	18.318	4.77161	2.37624	0.558306	lidar	2.42597	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6193	18.4997	4.7674	2.38723	0.536811	radar	7.1179	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4328	18.6673	4.77871	2.41554	0.537519	lidar	0.308047	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2497	18.8155	4.77469	2.44572	0.541958	radar	1.70909	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
